Date,USDINR
1992-06,28.8
1992-07,28.4823
1992-08,28.6
1992-09,28.4633
1992-10,28.5001
1992-11,28.4
1992-12,28.95
1993-01,29.2261
1993-02,30.2
1993-03,31.2
1993-04,31.6741
1993-05,31.7206
1993-06,31.45
1993-07,31.55
1993-08,31.6515
1993-09,31.38
1993-10,31.4539
1993-11,31.4673
1993-12,31.5041
1994-01,31.375
1994-02,31.465
1994-03,31.4566
1994-04,31.4176
1994-05,31.39
1994-06,31.365
1994-07,31.3925
1994-08,31.375
1994-09,31.375
1994-10,31.3775
1994-11,31.375
1994-12,31.3775
1995-01,31.3675
1995-02,31.42
1995-03,31.415
1995-04,31.4
1995-05,31.4
1995-06,31.397
1995-07,31.4325
1995-08,31.85
1995-09,33.94
1995-10,34.4
1995-11,34.935
1995-12,35.1785
1996-01,36.41
1996-02,34.7
1996-03,34.11
1996-04,34.55
1996-05,35.05
1996-06,35.1
1996-07,35.55
1996-08,35.66
1996-09,35.77
1996-10,35.65
1996-11,35.74
1996-12,35.85
1997-01,35.9
1997-02,35.88
1997-03,35.88
1997-04,35.76
1997-05,35.78
1997-06,35.8
1997-07,35.75
1997-08,36.5
1997-09,36.15
1997-10,36.25
1997-11,38.85
1997-12,39.2
1998-01,38.7
1998-02,39.34
1998-03,39.49
1998-04,39.72
1998-05,41.68
1998-06,42.41
1998-07,42.53
1998-08,42.49
1998-09,42.45
1998-10,42.45
1998-11,42.575
1998-12,42.49
1999-01,42.49
1999-02,42.507
1999-03,42.43
1999-04,42.8
1999-05,42.85
1999-06,43.37
1999-07,43.3
1999-08,43.48
1999-09,43.62
1999-10,43.38
1999-11,43.4125
1999-12,43.55
2000-01,43.635
2000-02,43.62
2000-03,43.62
2000-04,43.67
2000-05,44.575
2000-06,44.675
2000-07,45.01
2000-08,45.79
2000-09,46.04
2000-10,46.73
2000-11,46.865
2000-12,46.675
2001-01,46.4
2001-02,46.55
2001-03,46.615
2001-04,46.83
2001-05,47.0
2001-06,47.04
2001-07,47.135
2001-08,47.135
2001-09,47.86
2001-10,48.005
2001-11,47.925
2001-12,48.245
2002-01,48.52
2002-02,48.74
2002-03,48.815
2002-04,48.95
2002-05,49.045
2002-06,48.885
2002-07,48.67
2002-08,48.51
2002-09,48.375
2002-10,48.36
2002-11,48.32
2002-12,47.975
2003-01,47.795
2003-02,47.67
2003-03,47.47
2003-04,47.325
2003-05,47.08
2003-06,46.4875
2003-07,46.142
2003-08,45.84
2003-09,45.76
2003-10,45.32
2003-11,45.77
2003-12,45.625
2004-01,45.265
2004-02,45.235
2004-03,43.6
2004-04,44.5
2004-05,45.465
2004-06,46.06
2004-07,46.47
2004-08,46.3538
