,USDINR,USDINR_Return,Oil_Return,Gold_Return,Inflation_Differential,Interest_Rate_Differential,FPI_Flow,Trade_Balance,FX_Reserves_Change,VIX,Broad_USD_Return,GPR
2014-01,62.6575,1.3780022402984926,-4.052119740563942,3.508672837452931,7.046447705381099,6.1370000000000005,2189.0,-9454.79,-3134.0,18.41,1.7165229257761538,78.61989428920131
2014-02,61.7575,-1.4467961244029048,2.4784301033107248,6.36869473703463,6.761766580802053,6.2134,2051.0,-8308.94,2333.0,14.0,-0.8329631686836869,70.26414687292916
2014-03,59.89,-3.0705879346229814,-1.2083345838542314,-3.24729727671782,6.633750583689536,6.085000000000001,5172.0,-10953.42,9457.0,13.88,-0.15342117856809168,119.53876396917528
2014-04,60.335,0.7402820249192921,0.2872633212965603,0.5893766502548026,6.467438315620978,6.1841,418.0,-9763.3,7348.0,13.41,-0.37590512274059407,92.7823445002238
2014-05,59.1025,-2.0639141823748375,1.232312817362402,-3.299424136136686,6.158590198794833,6.169099999999999,5701.0,-11062.14,1585.0,11.4,-0.1374898831135951,83.18502376925561
2014-06,60.1862,1.8169865454000345,2.660570874734436,6.028188712927118,4.711375121508055,6.217599999999999,5186.0,-12448.07,4028.0,11.57,-0.5934773610746902,98.1738182067871
2014-07,60.56,0.6191518973377441,-5.8080246676382785,-3.42879346306848,5.413149517056803,5.940199999999999,6008.0,-14275.35,3190.0,16.95,1.3225702701018527,136.12800659671908
2014-08,60.515,-0.07433409386266021,-2.705580643203742,0.3681066917563314,5.313371402592759,6.219900000000001,3648.0,-10669.34,-1117.0,11.98,0.29433583757185744,132.44592408211
2014-09,61.7575,2.0324157432034085,-8.617478898682318,-6.347227396743982,3.944796874083467,6.0252,3461.0,-14474.07,-3388.0,16.31,2.9141021896677444,130.56609942118328
2014-10,61.3675,-0.6335046567563118,-9.767909734438529,-2.9576846521380595,3.00718303652463,5.944699999999999,2727.0,-13577.4,2361.0,14.03,0.6033475263144794,80.79179345407793
2014-11,62.0337,1.0797406708233481,-20.20822562479445,-0.4751495915549242,2.035886876543347,5.923,4133.0,-16236.83,456.0,13.33,1.973541787997668,84.14203809102376
2014-12,63.0425,1.613131636042553,-20.181175962817832,1.4449066091462903,3.6263545905704353,5.6858,1998.0,-9178.84,5125.0,19.2,2.186726336267597,85.45243663172567
2015-01,61.8725,-1.873328609151237,-7.8720830415620835,8.060565284605214,5.423592950036427,6.0513,5450.0,-7871.83,7378.0,20.97,3.1792325759427698,108.33973257003292
2015-02,61.845,-0.04445612052119685,16.63425217360657,-5.657162912156544,5.456749772794378,5.734999999999999,3966.0,-6741.98,8875.0,13.34,0.009186193252652686,112.50795323508126
2015-03,62.4975,1.0495301115361677,-12.711455034559194,-2.4709716546465366,5.275971739765383,5.8139,3337.0,-11396.17,5123.0,15.29,1.728845051380823,103.47884836504537
