,USDINR_Return,Oil_Return,Gold_Return,Inflation_Differential,Interest_Rate_Differential,FPI_Flow,Trade_Balance,FX_Reserves_Change,VIX,Broad_USD_Return
USDINR_Return,1.0,-0.078,-0.19,-0.095,-0.021,-0.401,-0.131,-0.332,0.232,0.453
Oil_Return,-0.078,1.0,-0.015,0.005,-0.035,0.161,0.124,0.101,-0.281,-0.334
Gold_Return,-0.19,-0.015,1.0,-0.059,-0.169,-0.025,-0.098,0.268,0.034,-0.432
Inflation_Differential,-0.095,0.005,-0.059,1.0,0.576,0.204,0.644,0.262,0.012,0.029
Interest_Rate_Differential,-0.021,-0.035,-0.169,0.576,1.0,0.084,0.74,0.125,0.073,0.108
FPI_Flow,-0.401,0.161,-0.025,0.204,0.084,1.0,0.088,0.485,-0.338,-0.294
Trade_Balance,-0.131,0.124,-0.098,0.644,0.74,0.088,1.0,0.338,0.011,-0.045
FX_Reserves_Change,-0.332,0.101,0.268,0.262,0.125,0.485,0.338,1.0,-0.108,-0.616
VIX,0.232,-0.281,0.034,0.012,0.073,-0.338,0.011,-0.108,1.0,0.219
Broad_USD_Return,0.453,-0.334,-0.432,0.029,0.108,-0.294,-0.045,-0.616,0.219,1.0
