,USDINR_Return,Oil_Return,Gold_Return,Inflation_Differential,Interest_Rate_Differential,FPI_Flow,Trade_Balance,FX_Reserves_Change,VIX,Broad_USD_Return
USDINR_Return,2.02,-1.25,-1.09,-0.32,-0.04,-2228.08,-1281.38,-4196.61,2.18,1.01
Oil_Return,-1.25,127.25,-0.66,0.13,-0.46,7099.97,9626.41,10187.36,-20.99,-5.93
Gold_Return,-1.09,-0.66,16.41,-0.57,-0.8,-394.33,-2719.52,9684.89,0.92,-2.76
Inflation_Differential,-0.32,0.13,-0.57,5.65,1.6,1896.26,10538.2,5552.61,0.19,0.11
Interest_Rate_Differential,-0.04,-0.46,-0.8,1.6,1.36,381.17,5939.23,1297.41,0.57,0.2
FPI_Flow,-2228.08,7099.97,-394.33,1896.26,381.17,15292238.9,2369581.3,16891891.41,-8749.45,-1814.08
Trade_Balance,-1281.38,9626.41,-2719.52,10538.2,5939.23,2369581.3,47380540.02,20729029.56,482.64,-484.11
FX_Reserves_Change,-4196.61,10187.36,9684.89,5552.61,1297.41,16891891.41,20729029.56,79486405.15,-6357.28,-8660.0
VIX,2.18,-20.99,0.92,0.19,0.57,-8749.45,482.64,-6357.28,43.85,2.29
Broad_USD_Return,1.01,-5.93,-2.76,0.11,0.2,-1814.08,-484.11,-8660.0,2.29,2.48
